ticker,date,period_ending,estimate,reported,surprise,surprise%
INCY,2021-08-03,Jun-21,0.73,0.81,0.08,10.96
INDB,2021-07-22,Jun-21,1.1,1.17,0.07,6.36
INFN,2021-08-03,Jun-21,-0.05,-0.03,0.02,40
INFU,2021-08-12,Jun-21,0.11,0.04,-0.07,-63.64
INGN,2021-08-04,Jun-21,-0.13,0.22,0.35,269.23
INN,2021-08-03,Jun-21,0.03,-0.21,-0.24,-800
INNV,2021-09-21,Jun-21,0.06,0.05,-0.01,-16.67
INO,2021-08-09,Jun-21,-0.25,-0.39,-0.14,-56
INSG,2021-08-04,Jun-21,-0.07,-0.08,-0.01,-14.29
INSM,2021-08-05,Jun-21,-0.85,-0.94,-0.09,-10.59
INSP,2021-08-03,Jun-21,-0.61,-0.48,0.13,21.31
INST,2021-08-17,Jun-21,0.02,0.16,0.14,700
INSW,2021-08-09,Jun-21,-0.59,-0.51,0.08,13.56
INT,2021-07-29,Jun-21,0.3,0.39,0.09,30
INTC,2021-07-22,Jun-21,1.06,1.28,0.22,20.75
INTU,2021-08-24,Jul-21,1.59,1.97,0.38,23.9
INVA,2021-07-28,Jun-21,0.29,0.9,0.61,210.34
INVE,2021-08-03,Jun-21,-0.05,-0.01,0.04,80
INVH,2021-07-28,Jun-21,0.35,0.11,-0.24,-68.57
IONS,2021-08-04,Jun-21,-0.56,-0.57,-0.01,-1.79
IOSP,2021-08-03,Jun-21,0.98,1.3,0.32,32.65
IOVA,2021-08-05,Jun-21,-0.52,-0.53,-0.01,-1.92
IP,2021-07-29,Jun-21,1.05,1.06,0.01,0.95
IPAR,2021-08-09,Jun-21,0.55,0.71,0.16,29.09
IPG,2021-07-21,Jun-21,0.45,0.7,0.25,55.56
IPGP,2021-08-03,Jun-21,1.39,1.33,-0.06,-4.32
IPI,2021-08-02,Jun-21,0.29,0.55,0.26,89.66
IQV,2021-07-27,Jun-21,2.07,2.13,0.06,2.9
IR,2021-07-28,Jun-21,0.4,0.46,0.06,15
IRBT,2021-07-28,Jun-21,0.29,0.27,-0.02,-6.9
IRDM,2021-07-20,Jun-21,-0.08,0.03,0.11,137.5
IRM,2021-08-05,Jun-21,0.64,0.85,0.21,32.81
IRMD,2021-07-30,Jun-21,0.15,0.14,-0.01,-6.67
IRT,2021-07-26,Jun-21,0.19,0.2,0.01,5.26
IRTC,2021-08-05,Jun-21,-0.97,-0.59,0.38,39.18
IRWD,2021-08-05,Jun-21,0.23,0.34,0.11,47.83
ISEE,2021-08-04,Jun-21,-0.26,-0.32,-0.06,-23.08
